date,close,ret,logret,sma,vol,drawdown,regime_A,regime_B,regime_C
2016-07-11,4554.70967709,0.00581786,0.00580100,4410.76711309,0.22607465,-0.00234627,Bull,Bear,Bull
2016-07-12,4577.61191124,0.00502825,0.00501565,4415.49336881,0.22351455,0.00000000,Bull,Bear,Bull
2016-07-13,4565.77055334,-0.00258680,-0.00259015,4419.18270096,0.22400613,-0.00258680,Bull,Bear,Bull
2016-07-14,4596.48845024,0.00672787,0.00670534,4424.28462807,0.22387793,0.00000000,Bull,Bear,Bull
2016-07-15,4589.82827441,-0.00144897,-0.00145002,4429.84091441,0.22416542,-0.00144897,Bull,Bear,Bull
2016-07-18,4619.68019660,0.00650393,0.00648287,4436.04482603,0.21914753,0.00000000,Bull,Bear,Bull
2016-07-19,4603.28418642,-0.00354917,-0.00355548,4441.50714655,0.21990661,-0.00354917,Bull,Bear,Bull
2016-07-20,4657.19988090,0.01171244,0.01164438,4447.82653090,0.22242055,0.00000000,Bull,Bear,Bull
2016-07-21,4647.01584491,-0.00218673,-0.00218912,4452.72608811,0.22248327,-0.00218673,Bull,Bear,Bull
2016-07-22,4666.07148877,0.00410062,0.00409223,4458.82685236,0.21843443,0.00000000,Bull,Bear,Bull
2016-07-25,4665.92834014,-0.00003068,-0.00003068,4465.28924265,0.14590792,-0.00003068,Bull,Bull,Bull
2016-07-26,4672.11202949,0.00132529,0.00132441,4472.20087179,0.11548142,0.00000000,Bull,Bull,Bull
2016-07-27,4702.88457028,0.00658643,0.00656483,4478.64889194,0.09964344,0.00000000,Bull,Bull,Bull
2016-07-28,4721.40881896,0.00393891,0.00393117,4486.62593321,0.08787314,0.00000000,Bull,Bull,Bull
2016-07-29,4730.23079884,0.00186851,0.00186676,4494.46590230,0.08265427,0.00000000,Bull,Bull,Bull
2016-08-01,4756.03919691,0.00545605,0.00544122,4503.27511301,0.08289146,0.00000000,Bull,Bull,Bull
2016-08-02,4719.21249239,-0.00774315,-0.00777328,4510.40130531,0.08571641,-0.00774315,Bull,Bull,Bull
2016-08-03,4734.32892100,0.00320317,0.00319805,4517.98589909,0.08420515,-0.00456478,Bull,Bull,Bull
2016-08-04,4743.81222021,0.00200309,0.00200109,4523.97620704,0.08430039,-0.00257083,Bull,Bull,Bull
2016-08-05,4791.20963072,0.00999142,0.00994183,4530.27172065,0.07570358,0.00000000,Bull,Bull,Bull
2016-08-08,4784.74312831,-0.00134966,-0.00135057,4536.20737283,0.07622439,-0.00134966,Bull,Bull,Bull
2016-08-09,4795.74872461,0.00230014,0.00229750,4541.87152249,0.07562563,0.00000000,Bull,Bull,Bull
2016-08-10,4783.39304456,-0.00257638,-0.00257971,4547.06152670,0.07561663,-0.00257638,Bull,Bull,Bull
2016-08-11,4803.31413152,0.00416464,0.00415599,4552.72644386,0.07418732,0.00000000,Bull,Bull,Bull
2016-08-12,4807.07599850,0.00078318,0.00078288,4558.24098145,0.07314607,0.00000000,Bull,Bull,Bull
2016-08-15,4827.11551906,0.00416875,0.00416009,4564.58744175,0.07184261,0.00000000,Bull,Bull,Bull
2016-08-16,4797.18738838,-0.00620000,-0.00621930,4570.05852380,0.07521429,-0.00620000,Bull,Bull,Bull
2016-08-17,4805.45293376,0.00172300,0.00172152,4575.90584508,0.06615014,-0.00448769,Bull,Bull,Bull
2016-08-18,4808.68417883,0.00067241,0.00067219,4581.66695626,0.06476048,-0.00381829,Bull,Bull,Bull
2016-08-19,4806.13818467,-0.00052946,-0.00052960,4587.53593289,0.06458328,-0.00434573,Bull,Bull,Bull
2016-08-22,4808.55798128,0.00050348,0.00050335,4594.48610248,0.06444540,-0.00384444,Bull,Bull,Bull
2016-08-23,4818.47966966,0.00206334,0.00206121,4602.40050867,0.06447100,-0.00178903,Bull,Bull,Bull
2016-08-24,4783.48535885,-0.00726252,-0.00728902,4609.57198729,0.06876847,-0.00903856,Bull,Bull,Bull
2016-08-25,4775.42500799,-0.00168504,-0.00168646,4616.89029600,0.06831939,-0.01070836,Bull,Bull,Bull
2016-08-26,4783.69378355,0.00173153,0.00173003,4624.07950361,0.06828666,-0.00899538,Bull,Bull,Bull
2016-08-29,4791.08627855,0.00154535,0.00154416,4632.41361905,0.06595477,-0.00746393,Bull,Bull,Bull
2016-08-30,4775.99492860,-0.00314988,-0.00315485,4639.93035426,0.06017899,-0.01059030,Bull,Bull,Bull
2016-08-31,4771.05458530,-0.00103441,-0.00103495,4647.08336130,0.05962663,-0.01161375,Bull,Bull,Bull
2016-09-01,4783.93841998,0.00270042,0.00269678,4654.66760297,0.05992688,-0.00894470,Bull,Bull,Bull
2016-09-02,4798.74091422,0.00309421,0.00308943,4661.29279078,0.04952075,-0.00587817,Bull,Bull,Bull
2016-09-06,4829.51205016,0.00641234,0.00639186,4672.16901274,0.05398248,0.00000000,Bull,Bull,Bull
2016-09-07,4831.86145882,0.00048647,0.00048635,4684.78515089,0.05354841,0.00000000,Bull,Bull,Bull
2016-09-08,4803.99801770,-0.00576661,-0.00578330,4695.05576117,0.05698985,-0.00576661,Bull,Bull,Bull
2016-09-09,4681.53483336,-0.02549193,-0.02582248,4701.39170385,0.10694653,-0.03111153,Bear,Bear,Bear
2016-09-12,4764.65221216,0.01775430,0.01759853,4708.33077749,0.12618385,-0.01390960,Bull,Bull,Bull
2016-09-13,4722.84460852,-0.00877453,-0.00881326,4714.03877953,0.12829217,-0.02256208,Bull,Bull,Bull
2016-09-14,4746.06311980,0.00491621,0.00490417,4720.74510114,0.12847171,-0.01775679,Bull,Bull,Bull
2016-09-15,4819.89671696,0.01555681,0.01543704,4728.24898670,0.14034411,-0.00247622,Bull,Bull,Bull
2016-09-16,4818.05360373,-0.00038240,-0.00038247,4735.41837141,0.14034200,-0.00285767,Bull,Bull,Bull
2016-09-19,4796.07098769,-0.00456255,-0.00457299,4740.77250504,0.14131212,-0.00740718,Bull,Bull,Bull
2016-09-20,4805.21967992,0.00190754,0.00190572,4745.78270510,0.14147975,-0.00551377,Bull,Bull,Bull
2016-09-21,4853.74812100,0.01009911,0.01004845,4751.30542929,0.14582325,0.00000000,Bull,Bull,Bull
2016-09-22,4891.36272275,0.00774960,0.00771973,4757.81727268,0.14510548,0.00000000,Bull,Bull,Bull
2016-09-23,4858.90857243,-0.00663499,-0.00665710,4763.06567512,0.14743237,-0.00663499,Bull,Bull,Bull
2016-09-26,4817.16736285,-0.00859066,-0.00862777,4767.61245689,0.15116493,-0.01516865,Bull,Bull,Bull
2016-09-27,4866.70620740,0.01028381,0.01023129,4772.55297711,0.15516830,-0.00504083,Bull,Bull,Bull
2016-09-28,4875.26834740,0.00175933,0.00175778,4777.99266033,0.15449314,-0.00329037,Bull,Bull,Bull
2016-09-29,4838.29980427,-0.00758287,-0.00761177,4781.61465879,0.15739488,-0.01084829,Bull,Bull,Bull
2016-09-30,4875.69695708,0.00772940,0.00769968,4786.18828104,0.15922792,-0.00320274,Bull,Bull,Bull
2016-10-03,4866.62511828,-0.00186062,-0.00186236,4790.19935363,0.15931559,-0.00505741,Bull,Bull,Bull
2016-10-04,4859.46713610,-0.00147083,-0.00147191,4794.07012955,0.15803106,-0.00652080,Bull,Bull,Bull
2016-10-05,4877.74904695,0.00376212,0.00375506,4798.18286990,0.15850490,-0.00278321,Bull,Bull,Bull
2016-10-06,4873.92396515,-0.00078419,-0.00078450,4801.60365779,0.15687294,-0.00356521,Bull,Bull,Bull
2016-10-07,4864.52258173,-0.00192891,-0.00193078,4804.46593305,0.12238557,-0.00548725,Bull,Bull,Bull
2016-10-10,4893.76746332,0.00601187,0.00599387,4807.73666634,0.10884785,0.00000000,Bull,Bull,Bull
2016-10-11,4821.91356576,-0.01468274,-0.01479159,4809.05415372,0.11793146,-0.01468274,Bull,Bull,Bull
2016-10-12,4819.63493921,-0.00047256,-0.00047267,4811.06260265,0.11713529,-0.01514835,Bull,Bull,Bull
2016-10-13,4803.10189344,-0.00343035,-0.00343625,4812.43806210,0.10423764,-0.01852674,Bear,Bear,Bull
2016-10-14,4808.48505464,0.00112077,0.00112014,4813.73151879,0.10433430,-0.01742674,Bear,Bear,Bull
2016-10-17,4796.16960627,-0.00256119,-0.00256448,4813.83071830,0.10343176,-0.01994330,Bear,Bear,Bull
2016-10-18,4839.72098215,0.00908045,0.00903947,4814.93027538,0.10816551,-0.01104394,Bull,Bull,Bull
2016-10-19,4836.60969479,-0.00064287,-0.00064307,4815.74749478,0.10193973,-0.01167971,Bull,Bull,Bull
2016-10-20,4832.70987141,-0.00080631,-0.00080664,4816.73383132,0.09757930,-0.01247660,Bull,Bull,Bull
2016-10-21,4851.86083654,0.00396278,0.00395495,4817.70476542,0.09610674,-0.00856326,Bull,Bull,Bull
2016-10-24,4909.96873262,0.01197641,0.01190526,4819.76262010,0.09944352,0.00000000,Bull,Bull,Bull
2016-10-25,4891.45459311,-0.00377072,-0.00377785,4821.04940158,0.09441570,-0.00377072,Bull,Bull,Bull
2016-10-26,4860.59293901,-0.00630930,-0.00632929,4822.31751260,0.09703453,-0.01005623,Bull,Bull,Bull
