Nasdaq Traded,Symbol,Security Name,Listing Exchange,Market Category,ETF,Round Lot Size,Test Issue,Financial Status,CQS Symbol,NASDAQ Symbol,NextShares,Industry,Source
Y,QURE,uniQure N.V. - Ordinary Shares,Q,Q,N,100.0,N,N,,QURE,N,Healthcare,Yahoo Finance
Y,QVCC,"QVC, Inc. 6.250% Senior Secured Notes due 2068",N, ,N,100.0,N,,QVCC,QVCC,N,N/A,Yahoo Finance
Y,QVCD,"QVC, Inc. 6.375% Senior Secured Notes due 2067",N, ,N,100.0,N,,QVCD,QVCD,N,N/A,Yahoo Finance
Y,R,"Ryder System, Inc. Common Stock",N, ,N,100.0,N,,R,R,N,Industrials,Yahoo Finance
Y,RA,Brookfield Real Assets Income Fund Inc. Common Stock,N, ,N,100.0,N,,RA,RA,N,Financial Services,Yahoo Finance
Y,RACE,Ferrari N.V. Common Shares,N, ,N,100.0,N,,RACE,RACE,N,Consumer Cyclical,Yahoo Finance
Y,RAD,Rite Aid Corporation Common Stock,N, ,N,100.0,N,,RAD,RAD,N,N/A,Yahoo Finance
Y,RADA,RADA Electronic Industries Ltd. - Ordinary Shares,Q,S,N,100.0,N,N,,RADA,N,N/A,Yahoo Finance
Y,RAIL,"Freightcar America, Inc. - Common Stock",Q,Q,N,100.0,N,N,,RAIL,N,Industrials,Yahoo Finance
Y,RAMP,"LiveRamp Holdings, Inc. Common Stock",N, ,N,100.0,N,,RAMP,RAMP,N,Technology,Yahoo Finance
Y,RAND,Rand Capital Corporation - Common Stock ($0.10 Par Value),Q,S,N,100.0,N,N,,RAND,N,Financial Services,Yahoo Finance
Y,RAPT,"RAPT Therapeutics, Inc. - Common Stock",Q,G,N,100.0,N,N,,RAPT,N,Healthcare,Yahoo Finance
Y,RARE,Ultragenyx Pharmaceutical Inc. - Common Stock,Q,Q,N,100.0,N,N,,RARE,N,Healthcare,Yahoo Finance
Y,RARX,"Ra Pharmaceuticals, Inc. - Common Stock",Q,G,N,100.0,N,N,,RARX,N,N/A,Yahoo Finance
Y,RAVE,"Rave Restaurant Group, Inc. - Common Stock",Q,S,N,100.0,N,N,,RAVE,N,Consumer Cyclical,Yahoo Finance
Y,RAVN,"Raven Industries, Inc. - Common Stock",Q,Q,N,100.0,N,N,,RAVN,N,N/A,Yahoo Finance
Y,RBA,Ritchie Bros. Auctioneers Incorporated Common Stock,N, ,N,100.0,N,,RBA,RBA,N,Industrials,Yahoo Finance
Y,RBB,RBB Bancorp - Common Stock,Q,Q,N,100.0,N,N,,RBB,N,Financial Services,Yahoo Finance
Y,RBBN,Ribbon Communications Inc.  - Common Stock,Q,Q,N,100.0,N,N,,RBBN,N,Technology,Yahoo Finance
Y,RBC,Regal Beloit Corporation Common Stock,N, ,N,100.0,N,,RBC,RBC,N,Industrials,Yahoo Finance
Y,RBCAA,"Republic Bancorp, Inc. - Class A Common Stock",Q,Q,N,100.0,N,N,,RBCAA,N,Financial Services,Yahoo Finance
Y,RBCN,"Rubicon Technology, Inc. - Common Stock",Q,S,N,100.0,N,N,,RBCN,N,Technology,Yahoo Finance
Y,RBKB,"Rhinebeck Bancorp, Inc. - Common Stock",Q,S,N,100.0,N,N,,RBKB,N,Financial Services,Yahoo Finance
Y,RBNC,"Reliant Bancorp, Inc. - Common Stock",Q,S,N,100.0,N,N,,RBNC,N,N/A,Yahoo Finance
Y,RBS,Royal Bank of Scotland Group Plc New (The) ADS,N, ,N,100.0,N,,RBS,RBS,N,N/A,Yahoo Finance
Y,RBZ,Reebonz Holding Limited - Ordinary Shares,Q,G,N,100.0,N,D,,RBZ,N,N/A,Yahoo Finance
Y,RC,Ready Capital Corproation Common Stock,N, ,N,100.0,N,,RC,RC,N,Real Estate,Yahoo Finance
Y,RCA,Ready Capital Corporation 7.00% Convertible Senior Notes due 2023,N, ,N,100.0,N,,RCA,RCA,N,N/A,Yahoo Finance
Y,RCB,Ready Capital Corporation 6.20% Senior Notes due 2026,N, ,N,100.0,N,,RCB,RCB,N,N/A,Yahoo Finance
Y,RCEL,Avita Medical Limited - American Depositary Shares,Q,S,N,100.0,N,N,,RCEL,N,Healthcare,Yahoo Finance
Y,RCG,"RENN Fund, Inc Common Stock",A, ,N,100.0,N,,RCG,RCG,N,Financial Services,Yahoo Finance
Y,RCI,"Rogers Communication, Inc. Common Stock",N, ,N,100.0,N,,RCI,RCI,N,Communication Services,Yahoo Finance
Y,RCII,Rent-A-Center Inc. - Common Stock,Q,Q,N,100.0,N,N,,RCII,N,N/A,Yahoo Finance
